RunID_vial,_out_crystalscore,_rxn_M_acid,_rxn_M_inorganic,_rxn_M_organic,_rxn_organic_inchikey,_rxn_temperatureC_actual_bulk,_rxn_mixingtime1S,_rxn_mixingtime2S,_rxn_reactiontimeS,_rxn_stirrateRPM,_feat_AtomCount_C,_feat_AtomCount_N,_feat_AvgPol,_feat_MolPol,_feat_Refractivity,_feat_AliphaticRingCount,_feat_AromaticRingCount,_feat_Aliphatic AtomCount,_feat_AromaticAtomCount,_feat_BondCount,_feat_CarboaliphaticRingCount,_feat_CarboaromaticRingCount,_feat_CarboRingCount,_feat_ChainAtomCount,_feat_ChiralCenterCount,_feat_RingAtomCount,_feat_SmallestRingSize,_feat_LargestRingSize,_feat_HeteroaliphaticRingCount,_feat_HeteroaromaticRing Count,_feat_RotatableBondCount,_feat_BalabanIndex,_feat_CyclomaticNumber,_feat_HyperWienerIndex,_feat_WienerIndex,_feat_WienerPolarity,_feat_MinimalProjectionArea,_feat_MaximalProjectionArea,_feat_MinimalProjectionRadius,_feat_MaximalProjectionRadius,_feat_LengthPerpendicularToTheMinArea,_feat_LengthPerpendicularToTheMaxArea,_feat_VanderWaalsVolume,_feat_VanderWaalsSurfaceArea,_feat_ASA,_feat_ASA+,_feat_ASA-,_feat_ASA_H,_feat_ASA_P,_feat_PolarSurfaceArea,_feat_acceptorcount,_feat_Accsitecount,_feat_donorcount,_feat_donsitecount,_feat_fr_NH2,_feat_fr_NH1,_feat_fr_NH0,_feat_fr_quatN,_feat_fr_ArN,_feat_fr_Ar_NH,_feat_fr_Imine,_feat_fr_amidine,_feat_fr_dihydropyridine,_feat_fr_guanido,_feat_fr_piperdine,_feat_fr_piperzine,_feat_fr_pyridine,_feat_maximalprojectionsize,_feat_minimalprojectionsize,_feat_molsurfaceareaVDWp,_feat_msareaVDWp,_feat_molsurfaceareaASAp,_feat_msareaASAp,_feat_ProtPolarSurfaceArea,_feat_Protpsa,_feat_Hacceptorcount,_feat_Hdonorcount
2019-09-30T17_16_09.419113+00_00_LBL_A1,1,3.07451662,0.065462392,1.084422723,BAMDIFIROXTEEM-UHFFFAOYSA-N,95,900,1200,12600,750,4,2,11.57,11.03,50.25,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.95,39.14,3.13,4.55,9.08,5.31,109.27,202.37,275.35,229.29,46.05,218.87,56.48,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,5.31,9.08,202.37,202.37,229.29,229.29,32.08,32.08,0,2
2019-09-30T17_16_09.419113+00_00_LBL_A10,1,2.809472083,0.284352264,1.073503386,BAMDIFIROXTEEM-UHFFFAOYSA-N,95,900,1200,12600,750,4,2,11.57,11.03,50.25,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.95,39.14,3.13,4.55,9.08,5.31,109.27,202.37,275.35,229.29,46.05,218.87,56.48,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,5.31,9.08,202.37,202.37,229.29,229.29,32.08,32.08,0,2
2019-09-30T17_16_09.419113+00_00_LBL_A11,1,4.232248083,0.269493379,0.794491697,BAMDIFIROXTEEM-UHFFFAOYSA-N,95,900,1200,12600,750,4,2,11.57,11.03,50.25,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.95,39.14,3.13,4.55,9.08,5.31,109.27,202.37,275.35,229.29,46.05,218.87,56.48,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,5.31,9.08,202.37,202.37,229.29,229.29,32.08,32.08,0,2
2019-09-30T17_16_09.419113+00_00_LBL_A12,1,4.390957386,0.275618228,0.568115502,BAMDIFIROXTEEM-UHFFFAOYSA-N,95,900,1200,12600,750,4,2,11.57,11.03,50.25,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.95,39.14,3.13,4.55,9.08,5.31,109.27,202.37,275.35,229.29,46.05,218.87,56.48,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,5.31,9.08,202.37,202.37,229.29,229.29,32.08,32.08,0,2
2019-09-30T17_16_09.419113+00_00_LBL_A2,1,2.968498805,0.08182799,1.691649341,BAMDIFIROXTEEM-UHFFFAOYSA-N,95,900,1200,12600,750,4,2,11.57,11.03,50.25,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.95,39.14,3.13,4.55,9.08,5.31,109.27,202.37,275.35,229.29,46.05,218.87,56.48,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,5.31,9.08,202.37,202.37,229.29,229.29,32.08,32.08,0,2
2019-09-30T17_16_09.419113+00_00_LBL_A3,1,6.002010539,0.190631338,1.215521716,BAMDIFIROXTEEM-UHFFFAOYSA-N,95,900,1200,12600,750,4,2,11.57,11.03,50.25,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.95,39.14,3.13,4.55,9.08,5.31,109.27,202.37,275.35,229.29,46.05,218.87,56.48,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,5.31,9.08,202.37,202.37,229.29,229.29,32.08,32.08,0,2
2019-09-30T17_16_09.419113+00_00_LBL_A4,1,3.180534434,0.177975877,0.756636491,BAMDIFIROXTEEM-UHFFFAOYSA-N,95,900,1200,12600,750,4,2,11.57,11.03,50.25,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.95,39.14,3.13,4.55,9.08,5.31,109.27,202.37,275.35,229.29,46.05,218.87,56.48,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,5.31,9.08,202.37,202.37,229.29,229.29,32.08,32.08,0,2
2019-09-30T17_16_09.419113+00_00_LBL_A5,1,2.332391918,0.067508091,0.628220751,BAMDIFIROXTEEM-UHFFFAOYSA-N,95,900,1200,12600,750,4,2,11.57,11.03,50.25,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.95,39.14,3.13,4.55,9.08,5.31,109.27,202.37,275.35,229.29,46.05,218.87,56.48,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,5.31,9.08,202.37,202.37,229.29,229.29,32.08,32.08,0,2
2019-09-30T17_16_09.419113+00_00_LBL_A6,1,8.375407343,0.094102188,0.935999712,BAMDIFIROXTEEM-UHFFFAOYSA-N,95,900,1200,12600,750,4,2,11.57,11.03,50.25,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.95,39.14,3.13,4.55,9.08,5.31,109.27,202.37,275.35,229.29,46.05,218.87,56.48,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,5.31,9.08,202.37,202.37,229.29,229.29,32.08,32.08,0,2
2019-09-30T17_16_09.419113+00_00_LBL_A7,1,3.392570063,0.642349718,1.224599194,BAMDIFIROXTEEM-UHFFFAOYSA-N,95,900,1200,12600,750,4,2,11.57,11.03,50.25,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.95,39.14,3.13,4.55,9.08,5.31,109.27,202.37,275.35,229.29,46.05,218.87,56.48,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,5.31,9.08,202.37,202.37,229.29,229.29,32.08,32.08,0,2
