Chemical Name,Chemical Abbreviation,InChI Key (ID)
null,null,null
Gamma-Butyrolactone,GBL,YEJRWHAVMIAJKC-UHFFFAOYSA-N
Dimethyl sulfoxide,DMSO,IAZDPXIOMUYVGZ-UHFFFAOYSA-N
Formic Acid,FAH,BDAGIHXWWSANSR-UHFFFAOYSA-N
Lead Diiodide,PbI2,RQQRAHKHDFPBMC-UHFFFAOYSA-L
Ethylammonium Iodide,EtNH3I,XFYICZOIWSBQSK-UHFFFAOYSA-N
Methylammonium iodide,MeNH3I,LLWRXQXPJMPHLR-UHFFFAOYSA-N
Phenethylammonium iodide ,PhEtNH3I,UPHCENSIMPJEIS-UHFFFAOYSA-N
Acetamidinium iodide,AcNH3I,GGYGJCFIYJVWIP-UHFFFAOYSA-N
n-Butylammonium iodide,n-BuNH3I,CALQKRVFTWDYDG-UHFFFAOYSA-N
Guanidinium iodide,GnNH3I,UUDRLGYROXTISK-UHFFFAOYSA-N
Dichloromethane,DCM,YMWUJEATGCHHMB-UHFFFAOYSA-N
Dimethylammonium iodide,Me2NH2I,JMXLWMIFDJCGBV-UHFFFAOYSA-N
Phenylammonium Iodide,PhenylammoniumIodide,KFQARYBEAKAXIC-UHFFFAOYSA-N
t-Butylammonium Iodide,tButylammoniumIodide,NLJDBTZLVTWXRG-UHFFFAOYSA-N
N-propylammonium Iodide,NPropylammoniumIodide,GIAPQOZCVIEHNY-UHFFFAOYSA-N
Formamidinium Iodide,FormamidiniumIodide,QHJPGANWSLEMTI-UHFFFAOYSA-N
"1,4-Diazabicyclo[2,2,2]octane-1,4-diium Iodide",Dabcoiodide,WXTNTIQDYHIFEG-UHFFFAOYSA-N
4-Fluoro-Benzylammonium iodide,4FluoroBenzylammoniumIodide,LCTUISCIGMWMAT-UHFFFAOYSA-N
4-Fluoro-Phenethylammonium iodide,4FluoroPhenethylammoniumIodide,NOHLSFNWSBZSBW-UHFFFAOYSA-N
4-Fluoro-Phenylammonium iodide,4FluoroPhenylammoniumIodide,FJFIJIDZQADKEE-UHFFFAOYSA-N
4-Methoxy-Phenylammonium iodide,4MethoxyPhenylammoniumIodide,QRFXELVDJSDWHX-UHFFFAOYSA-N
4-Trifluoromethyl-Benzylammonium iodide,4TrifluoromethylBenzylammoniumIodide,SQXJHWOXNLTOOO-UHFFFAOYSA-N
4-Trifluoromethyl-Phenylammonium iodide,4TrifluoromethylPhenylammoniumIodide,KOAGKPNEVYEZDU-UHFFFAOYSA-N
chlorobenzene,CBz,MVPPADPHJFYWMZ-UHFFFAOYSA-N
Acetamidinium bromide,AcNH3Br,CWJKVUQGXKYWTR-UHFFFAOYSA-N
Benzylammonium Bromide,benzylammoniumbromide,QJFMCHRSDOLMHA-UHFFFAOYSA-N
Benzylammonium Iodide,BenzylammoniumIodide,PPCHYMCMRUGLHR-UHFFFAOYSA-N
Beta Alanine Hydroiodide,betaAlanineHydroiodide,XAKAQFUGWUAPJN-UHFFFAOYSA-N
Bismuth iodide,BiI3,KOECRLKKXSXCPB-UHFFFAOYSA-K
Cesium iodide,CsI,XQPRBTXUXXVTKB-UHFFFAOYSA-M
Dimethylformamide,DMF,ZMXDDKWLCZADIW-UHFFFAOYSA-N
"Ethane-1,2-diammonium bromide",EthylenediamineDihydrobromide,BCQZYUOYVLJOPE-UHFFFAOYSA-N
"Ethane-1,2-diammonium iodide",EthylenediamineDihydriodide,IWNWLPUNKAYUAW-UHFFFAOYSA-N
Ethylammonium bromide,EtNH3Br,PNZDZRMOBIIQTC-UHFFFAOYSA-N
Formamidinium bromide,FABr,QWANGZFTSGZRPZ-UHFFFAOYSA-N
Guanidinium bromide,GnNH3Br,VQNVZLDDLJBKNS-UHFFFAOYSA-N
i-Propylammonium iodide,iPropylammoniumIodide,VMLAEGAAHIIWJX-UHFFFAOYSA-N
Imidazolium Iodide,ImidazoliumIodide,JBOIAZWJIACNJF-UHFFFAOYSA-N
iso-Butylammonium bromide,iButylammoniumBromide,RFYSBVUZWGEPBE-UHFFFAOYSA-N
iso-Butylammonium iodide,iButylammoniumIodide,FCTHQYIDLRRROX-UHFFFAOYSA-N
iso-Pentylammonium iodide,IPentylammoniumIodide,UZHWWTHDRVLCJU-UHFFFAOYSA-N
Lead(II) acetate trihydrate,LeadAcetate,MCEUZMYFCCOOQO-UHFFFAOYSA-L
Lead(II) bromide,PbBr2,ZASWJUOMEGBQCQ-UHFFFAOYSA-L
Methylammonium bromide,Methylammoniumbromide,ISWNAMNOYHCTSB-UHFFFAOYSA-N
Morpholinium Iodide,MorpholiniumIodide,VAWHFUNJDMQUSB-UHFFFAOYSA-N
n-Dodecylammonium bromide,nDodecylammoniumBromide,VZXFEELLBDNLAL-UHFFFAOYSA-N
n-Dodecylammonium iodide,nDodecylammoniumIodide,PXWSKGXEHZHFJA-UHFFFAOYSA-N
n-Hexylammonium iodide,nHexylammoniumIodide,VNAAUNTYIONOHR-UHFFFAOYSA-N
n-Octylammonium Iodide,nOctylammoniumIodide,HBZSVMFYMAOGRS-UHFFFAOYSA-N
neo-Pentylammonium bromide,neoPentylammoniumBromide,FEUPHURYMJEUIH-UHFFFAOYSA-N
neo-Pentylammonium iodide,neoPentylammoniumIodide,CQWGDVVCKBJLNX-UHFFFAOYSA-N
Phenethylammonium bromide,Phenethylammoniumbromide,IRAGENYJMTVCCV-UHFFFAOYSA-N
piperazine dihydrobromide,PiperazinediiumDiBromide,UXWKNNJFYZFNDI-UHFFFAOYSA-N
"Piperazine-1,4-diium iodide",PiperazinediiumDiodide,QZCGFUVVXNFSLE-UHFFFAOYSA-N
Piperidinium Iodide,PiperidiniumIodide,HBPSMMXRESDUSG-UHFFFAOYSA-N
"Poly(vinyl alcohol), Mw89000-98000, >99% hydrolyzed)",PVA,IMROMDMJAWUWLK-UHFFFAOYSA-N
Pralidoxime iodide,PralidoximeIodide,QNBVYCDYFJUNLO-UHDJGPCESA-N
"Propane-1,3-diammonium iodide",Propane13diammoniumIodide,UMDDLGMCNFAZDX-UHFFFAOYSA-O
Pyrrolidinium Bromide,pyrrolidiniumBromide,VFDOIPKMSSDMCV-UHFFFAOYSA-N
Pyrrolidinium Iodide,PyrrolidiniumIodide,DMFMZFFIQRMJQZ-UHFFFAOYSA-N
Quinuclidin-1-ium bromide,QuinuclidiniumBromide,DYEHDACATJUKSZ-UHFFFAOYSA-N
Quinuclidin-1-ium iodide,QuinuclidiniumIodide,LYHPZBKXSHVBDW-UHFFFAOYSA-N
tert-Octylammonium iodide,TertOctylammoniumIodide,UXYJHTKQEFCXBJ-UHFFFAOYSA-N
Pyridinium Iodide,PyridiniumIodide,BJDYCCHRZIFCGN-UHFFFAOYSA-N
Cyclohexylmethylammonium iodide,CyclohexylmethylammoniumIodide,ZEVRFFCPALTVDN-UHFFFAOYSA-N
Cyclohexylammonium iodide,CyclohexylammoniumIodide,WGYRINYTHSORGH-UHFFFAOYSA-N
"Butane-1,4-diammonium Iodide",Butane14diammoniumIodide,XZUCBFLUEBDNSJ-UHFFFAOYSA-N
"1,4-Benzene diammonium iodide",Benzenediaminedihydroiodide,RYYSZNVPBLKLRS-UHFFFAOYSA-N
5-Azaspiro[4.4]nonan-5-ium iodide,5Azaspironoiodide,DWOWCUCDJIERQX-UHFFFAOYSA-M
Diethylammonium iodide,Diethylammoniumiodide,YYMLRIWBISZOMT-UHFFFAOYSA-N
2-Pyrrolidin-1-ium-1-ylethylammonium iodide,2Pyrrolidin1ium1ylethylammoniumiodide,UVLZLKCGKYLKOR-UHFFFAOYSA-N
"N,N-Dimethylethane- 1,2-diammonium iodide",NNDimethylethane12diammoniumiodide,BAMDIFIROXTEEM-UHFFFAOYSA-N
"N,N-dimethylpropane- 1,3-diammonium iodide",NNdimethylpropane13diammoniumiodide,JERSPYRKVMAEJY-UHFFFAOYSA-N
"N,N-Diethylpropane-1,3-diammonium iodide",NNDiethylpropane13diammoniumiodide,NXRUEVJQMBGVAT-UHFFFAOYSA-N
Di-isopropylammonium iodide,Diisopropylammoniumiodide,PBGZCCFVBVEIAS-UHFFFAOYSA-N
4-methoxy-phenethylammonium-iodide,4methoxyphenethylammoniumiodide,QNNYEDWTOZODAS-UHFFFAOYSA-N
Iso-Propylammonium Bromide ,IsoPropylammoniumBromide ,WGWKNMLSVLOQJB-UHFFFAOYSA-N
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
